001  00333 |Loss: 2.072 | Train_acc: 23.072% 
001  00334 |Loss: 2.072 | Train_acc: 23.103% 
001  00335 |Loss: 2.071 | Train_acc: 23.134% 
001  00336 |Loss: 2.071 | Train_acc: 23.133% 
001  00337 |Loss: 2.070 | Train_acc: 23.143% 
001  00338 |Loss: 2.070 | Train_acc: 23.167% 
001  00339 |Loss: 2.070 | Train_acc: 23.163% 
001  00340 |Loss: 2.069 | Train_acc: 23.171% 
001  00341 |Loss: 2.069 | Train_acc: 23.176% 
001  00342 |Loss: 2.068 | Train_acc: 23.179% 
001  00343 |Loss: 2.068 | Train_acc: 23.221% 
001  00344 |Loss: 2.067 | Train_acc: 23.224% 
001  00345 |Loss: 2.067 | Train_acc: 23.234% 
001  00346 |Loss: 2.067 | Train_acc: 23.246% 
001  00347 |Loss: 2.066 | Train_acc: 23.275% 
001  00348 |Loss: 2.066 | Train_acc: 23.298% 
001  00349 |Loss: 2.066 | Train_acc: 23.319% 
001  00350 |Loss: 2.065 | Train_acc: 23.328% 
001  00351 |Loss: 2.065 | Train_acc: 23.342% 
001  00352 |Loss: 2.065 | Train_acc: 23.349% 
001  00353 |Loss: 2.065 | Train_acc: 23.349% 
001  00354 |Loss: 2.064 | Train_acc: 23.378% 
001  00355 |Loss: 2.064 | Train_acc: 23.411% 
001  00356 |Loss: 2.063 | Train_acc: 23.427% 
001  00357 |Loss: 2.063 | Train_acc: 23.433% 
001  00358 |Loss: 2.063 | Train_acc: 23.440% 
001  00359 |Loss: 2.062 | Train_acc: 23.459% 
001  00360 |Loss: 2.062 | Train_acc: 23.470% 
001  00361 |Loss: 2.062 | Train_acc: 23.489% 
001  00362 |Loss: 2.062 | Train_acc: 23.479% 
001  00363 |Loss: 2.061 | Train_acc: 23.515% 
001  00364 |Loss: 2.060 | Train_acc: 23.534% 
001  00365 |Loss: 2.060 | Train_acc: 23.545% 
001  00366 |Loss: 2.059 | Train_acc: 23.563% 
001  00367 |Loss: 2.059 | Train_acc: 23.563% 
001  00368 |Loss: 2.059 | Train_acc: 23.580% 
001  00369 |Loss: 2.058 | Train_acc: 23.592% 
001  00370 |Loss: 2.058 | Train_acc: 23.600% 
001  00371 |Loss: 2.058 | Train_acc: 23.604% 
001  00372 |Loss: 2.057 | Train_acc: 23.629% 
001  00373 |Loss: 2.057 | Train_acc: 23.639% 
001  00374 |Loss: 2.056 | Train_acc: 23.659% 
001  00375 |Loss: 2.056 | Train_acc: 23.665% 
001  00376 |Loss: 2.056 | Train_acc: 23.664% 
001  00377 |Loss: 2.056 | Train_acc: 23.684% 
001  00378 |Loss: 2.056 | Train_acc: 23.692% 
001  00379 |Loss: 2.056 | Train_acc: 23.699% 
001  00380 |Loss: 2.055 | Train_acc: 23.715% 
001  00381 |Loss: 2.055 | Train_acc: 23.735% 
001  00382 |Loss: 2.054 | Train_acc: 23.759% 
001  00383 |Loss: 2.054 | Train_acc: 23.792% 
001  00384 |Loss: 2.054 | Train_acc: 23.808% 
001  00385 |Loss: 2.053 | Train_acc: 23.807% 
001  00386 |Loss: 2.054 | Train_acc: 23.798% 
001  00387 |Loss: 2.054 | Train_acc: 23.807% 
001  00388 |Loss: 2.053 | Train_acc: 23.820% 
001  00389 |Loss: 2.053 | Train_acc: 23.833% 
001  00390 |Loss: 2.053 | Train_acc: 23.850% 
001  00391 |Loss: 2.052 | Train_acc: 23.862% 
002  00392 |Loss: 1.966 | Train_acc: 25.000% 
002  00393 |Loss: 1.917 | Train_acc: 27.734% 
002  00394 |Loss: 1.990 | Train_acc: 27.083% 
002  00395 |Loss: 1.962 | Train_acc: 26.953% 
002  00396 |Loss: 1.941 | Train_acc: 27.500% 
002  00397 |Loss: 1.936 | Train_acc: 27.344% 
002  00398 |Loss: 1.936 | Train_acc: 27.121% 
002  00399 |Loss: 1.937 | Train_acc: 27.930% 
002  00400 |Loss: 1.948 | Train_acc: 27.517% 
002  00401 |Loss: 1.943 | Train_acc: 28.125% 
002  00402 |Loss: 1.935 | Train_acc: 27.841% 
002  00403 |Loss: 1.935 | Train_acc: 27.865% 
002  00404 |Loss: 1.941 | Train_acc: 27.704% 
002  00405 |Loss: 1.944 | Train_acc: 28.181% 
002  00406 |Loss: 1.946 | Train_acc: 28.125% 
002  00407 |Loss: 1.944 | Train_acc: 27.979% 
002  00408 |Loss: 1.948 | Train_acc: 28.079% 
002  00409 |Loss: 1.942 | Train_acc: 28.689% 
002  00410 |Loss: 1.943 | Train_acc: 28.783% 
002  00411 |Loss: 1.939 | Train_acc: 28.594% 
002  00412 |Loss: 1.944 | Train_acc: 28.199% 
002  00413 |Loss: 1.943 | Train_acc: 28.089% 
002  00414 |Loss: 1.946 | Train_acc: 28.023% 
002  00415 |Loss: 1.946 | Train_acc: 28.092% 
002  00416 |Loss: 1.946 | Train_acc: 28.344% 
002  00417 |Loss: 1.948 | Train_acc: 28.185% 
002  00418 |Loss: 1.944 | Train_acc: 28.385% 
002  00419 |Loss: 1.944 | Train_acc: 28.348% 
002  00420 |Loss: 1.946 | Train_acc: 28.556% 
002  00421 |Loss: 1.951 | Train_acc: 28.307% 
002  00422 |Loss: 1.947 | Train_acc: 28.301% 
002  00423 |Loss: 1.948 | Train_acc: 28.247% 
002  00424 |Loss: 1.949 | Train_acc: 28.149% 
002  00425 |Loss: 1.948 | Train_acc: 28.056% 
002  00426 |Loss: 1.947 | Train_acc: 27.991% 
002  00427 |Loss: 1.946 | Train_acc: 27.843% 
002  00428 |Loss: 1.944 | Train_acc: 27.660% 
002  00429 |Loss: 1.945 | Train_acc: 27.652% 
002  00430 |Loss: 1.943 | Train_acc: 27.644% 
002  00431 |Loss: 1.945 | Train_acc: 27.461% 
002  00432 |Loss: 1.950 | Train_acc: 27.325% 
002  00433 |Loss: 1.947 | Train_acc: 27.325% 
002  00434 |Loss: 1.948 | Train_acc: 27.307% 
002  00435 |Loss: 1.951 | Train_acc: 27.184% 
002  00436 |Loss: 1.950 | Train_acc: 27.292% 
002  00437 |Loss: 1.949 | Train_acc: 27.344% 
002  00438 |Loss: 1.950 | Train_acc: 27.377% 
002  00439 |Loss: 1.953 | Train_acc: 27.344% 
002  00440 |Loss: 1.949 | Train_acc: 27.567% 
002  00441 |Loss: 1.949 | Train_acc: 27.625% 
002  00442 |Loss: 1.948 | Train_acc: 27.681% 
002  00443 |Loss: 1.947 | Train_acc: 27.629% 
002  00444 |Loss: 1.947 | Train_acc: 27.565% 
002  00445 |Loss: 1.946 | Train_acc: 27.575% 
002  00446 |Loss: 1.945 | Train_acc: 27.614% 
002  00447 |Loss: 1.944 | Train_acc: 27.567% 
